"10455
",13.4
"11001
",5.2
"11004
",6.3
"11101
",7.8
"11102
",6.5
"11103
",6.6
"11104
",5.5
"11105
",5.7
"11106
",8.4
"11109
",1.4
"11221
",12.5
"11354
",5.1
"11355
",4.5
"11356
",4.6
"11357
",5.7
"11358
",4.4
"11360
",4.8
"11361
",5.6
"11362
",5.5
"11363
",4.5
"11364
",4.8
"11365
",9.2
"11366
",9.2
"11367
",5.9
"11368
",5.6
"11369
",7
"11370
",5.9
"11372
",4.7
"11373
",5.6
"11374
",5.2
"11375
",4.7
"11377
",4.8
"11378
",5.6
"11379
",6.7
"11385
",5.6
"11411
",6.5
"11412
",10.1
"11413
",7.6
"11414
",7
"11415
",4.2
"11416
",8.2
"11417
",8.7
"11418
",6.9
"11419
",9.9
"11420
",9.6
"11421
",6.8
"11422
",5.6
"11423
",9.8
"11426
",4.9
"11427
",6.6
"11428
",4.9
"11429
",15.6
"11432
",8.7
"11433
",15.5
"11434
",8.3
"11435
",11.6
"11436
",10.3
"11691
",9.4
"11692
",13.3
"11693
",5.8
"11694
",6.5
11791,3.5
