"10455
",41.8
"11001
",3.4
"11004
",6.2
"11101
",18.6
"11102
",18.1
"11103
",13.4
"11104
",13.2
"11105
",9.8
"11106
",16.4
"11109
",7.1
"11221
",24.9
"11354
",21
"11355
",23
"11356
",13.1
"11357
",5.4
"11358
",9.9
"11360
",7.9
"11361
",9
"11362
",7.4
"11363
",8.6
"11364
",8.9
"11365
",13.2
"11366
",13.3
"11367
",13.5
"11368
",20.7
"11369
",15.7
"11370
",12.3
"11372
",14
"11373
",18.1
"11374
",13.4
"11375
",9.5
"11377
",13.5
"11378
",9.4
"11379
",8.1
"11385
",12.5
"11411
",4.5
"11412
",9.2
"11413
",7.7
"11414
",11.8
"11415
",12
"11416
",16.2
"11417
",15.6
"11418
",15.2
"11419
",14.7
"11420
",11.2
"11421
",11.8
"11422
",6.9
"11423
",8.6
"11426
",8.8
"11427
",9.7
"11428
",7.9
"11429
",10
"11432
",17.7
"11433
",16.8
"11434
",10.4
"11435
",16.4
"11436
",11.7
"11691
",23.2
"11692
",25.1
"11693
",14.4
"11694
",8.1
11791,3.8
