"10455
",41
"11001
",9
"11004
",8.3
"11101
",14.3
"11102
",16.8
"11103
",13.3
"11104
",13.5
"11105
",13.3
"11106
",14.8
"11109
",0.3
"11221
",23.3
"11354
",26
"11355
",29.7
"11356
",22
"11357
",13.9
"11358
",16
"11360
",7
"11361
",11.1
"11362
",9.5
"11363
",3.8
"11364
",11.2
"11365
",13.9
"11366
",12.1
"11367
",15.6
"11368
",38.3
"11369
",24
"11370
",26.6
"11372
",23.5
"11373
",26.5
"11374
",9.8
"11375
",6.8
"11377
",23.2
"11378
",14.1
"11379
",12.9
"11385
",17.8
"11411
",8.7
"11412
",12.3
"11413
",11.8
"11414
",14.8
"11415
",8.7
"11416
",23.3
"11417
",22
"11418
",22.6
"11419
",28.4
"11420
",26.3
"11421
",24.3
"11422
",11.1
"11423
",17
"11426
",11.5
"11427
",13.9
"11428
",16.5
"11429
",14
"11432
",21.8
"11433
",22.7
"11434
",13.4
"11435
",23.3
"11436
",19.6
"11691
",27.2
"11692
",24.6
"11693
",18
"11694
",11.3
11791,3.6
